Object,Pose_Number,Contact,Hardness_Level,SSIM,Marker_Displacement,Z
banana,0,0,0,Reference,Reference,150.865372
banana,0,1,0,0.9523360698618232,3.3358406366005897,125.86537200000001
banana,0,2,0,0.9488949239767783,3.8420561211617454,125.61537200000001
banana,0,3,0,0.9452421756276367,4.271144093317612,125.36537200000001
banana,0,4,0,0.9415116355727828,4.777723798813105,125.11537200000001
banana,0,5,0,0.9371790798777108,5.3249359408112005,124.86537200000001
banana,0,6,0,0.932555682384826,5.932130139316334,124.61537200000001
banana,0,7,0,0.9279552642151278,6.642869013925487,124.36537200000001
banana,0,8,0,0.9239642568756734,7.350183586769834,124.11537200000001
banana,0,0,1,Reference,Reference,160.011703
banana,0,1,1,0.9508513553644465,3.2979895353136937,127.01170300000001
banana,0,2,1,0.9429463518207106,4.091418469687889,126.76170300000001
banana,0,3,1,0.9360397321934315,4.710744398953322,126.51170300000001
banana,0,4,1,0.9305335428009606,5.557374107175416,126.26170300000001
banana,0,5,1,0.9244877393321149,6.321941612395402,126.01170300000001
banana,0,6,1,0.9191513231655226,7.060849126019967,125.76170300000001
banana,0,7,1,0.9145576679662232,7.868399187077125,125.51170300000001
banana,0,8,1,0.9104027655815197,8.670107861358,125.26170300000001
lime,0,0,0,Reference,Reference,159.998596
lime,0,1,0,0.9543678966666104,2.527346481424983,141.998596
lime,0,2,0,0.9497928478829087,2.6698094751118973,141.748596
lime,0,3,0,0.9450533303134463,2.9182813520267006,141.498596
lime,0,4,0,0.9406061551047563,3.1264112648060802,141.248596
lime,0,5,0,0.9369077501391213,3.260844271483639,140.998596
lime,0,6,0,0.9337622343368954,3.3705528187192333,140.748596
lime,0,7,0,0.9308832857862614,3.430054715136464,140.498596
lime,0,8,0,0.9283220163746174,3.48999656747585,140.248596
